facility_chars.Fac_Name,facility_types.Fac_Type,facility_chars.Fac_Add,facility_chars.Fac_TMK,facility_chars.GW_Risk,facility_chars.Fac_Area_Acre,facility_chars.Fac_Area,facility_chars.Bldg_Area,facility_chars.Pave_Area,facility_chars.Unpave_Area,facility_chars.Imperv,facility_chars.Tm,facility_chars.Runoff_Coeff,facility_chars.Length,facility_chars.Char_Ground,facility_chars.Fac_Slope,facility_chars.TC,facility_chars.CF,facility_chars.Q_Peak,facility_chars.WQV,facility_chars.Des_Storm_Depth,facility_chars.Runoff_Coeff2,facility_chars.Imperv2,facility_chars.Fac_Area2,facility_chars.WQFR,facility_chars.Runoff_Coeff3,facility_chars.WQ_Intensity,facility_chars.Fac_Area3,facility_chars.OP_Shutdown,facility_chars.Soil_Type,facility_chars.FP_100_Year,facility_chars.Num_Ind_DP,facility_chars.Runoff_Type,facility_chars.Ex_Struct_BMP,facility_chars.Count_Pipe,facility_chars.Count_Sheet,facility_chars.Count_CB,facility_chars.Count_Chan,facility_chars.Count_DS,facility_chars.Count_TD,facility_chars.SMA_Area,facility_chars.OFFSITE_SD_Exist,facility_chars.DS_SS_Exist,facility_chars.EM_Area,facility_chars.Dmg_Pave,facility_chars.TFMR_Exist,facility_chars.Can_Add_SD,facility_chars.Indus_Area,facility_chars.Indus_WQV,facility_chars.Indus_WQFR
Kalihi-Palama Bus & Paratransit Facility,Bus Maintenance Facility,"611 and 811 Middle Street 
Pearl City (AES) Corporation Yard,Corporation Yards,"952 Third Street
Pearl City, Hawaii 96782",(1) 9-7-023:009,Medium,1.878627181,81833,29015,35509,17309,0.788483863,2.4,0.85,353,Paved,0.015,6.7,2.6,9.964238567,5180.270833,1,0.759635477,0.788483863,1.878627181,0.958099862,0.85,0.4,1.878627181,0,Loam,Yes,2,Catch Basin to Piped Outlet / Sheet Flow,None,0,1,1,0,0,0,No ,Yes,Yes,0,0,Yes,Yes,81833,5180.270833,0.958099862
Pearl City (DRM) Corporation Yard,Corporation Yards,"952 Third Street
Pearl City, Hawaii 96782",(1) 9-7-023:009,Medium,2.204109275,96011,20597,64673,10741,0.888127402,2.4,0.85,222,Paved,0.01,6,2.7,12.14023388,6795.295833,1,0.849314662,0.888127402,2.204109275,1.12409573,0.85,0.4,2.204109275,0,Loam,Yes,1,Catch Basin to Piped Outlet,None,0,0,1,0,0,0,No ,Yes,Yes,240,0,Yes,Yes,96011,6795.295833,1.12409573
Wahiawa Corporation & Refuse Collection Yard,Corporation Yards,"12 California Avenue
Wahiawa, Hawaii 96786",(1) 7-3-007:004,High,2.353719008,102528,31033,42368,29127,0.715911751,3.8,0.85,205,Paved,0.005,6.7,2.6,19.76653223,5932.275,1,0.694320576,0.715911751,2.353719008,1.200396694,0.85,0.4,2.353719008,0,Clay,Undetermined Area,3,Sheet Flow / Channelized Flow,Gravel Swale,0,1,0,2,0,0,No,Yes,Yes,0,0,Yes,No,102528,5932.275,1.200396694
Waialua Corporation & Refuse Collection Yard,Corporation Yards,"61-126 Emerson Road
Haleiwa, Hawaii 96712",(1) 6-2-012:015,High,4.763498623,207498,21089,138073,48336,0.767053176,2.6,0.85,488,Paved,0.005,9.5,2.3,24.2128635,12801.725,1,0.740347859,0.767053176,4.763498623,2.429384298,0.85,0.4,4.763498623,0,Loam,YES,2,Catch Basin to Piped Outlet / Sheet Flow,Retention basin,0,1,1,0,0,0,Yes,Yes,No,220,0,Yes,No,207498,12801.725,2.429384298
Halawa (AES) Corporation Yard,Corporation Yards,"99-999 Iwaena Street
Aiea, Hawaii 96701",(1) 9-9-073:027 & (1) 9-9-073:029,High,10.27,447361.2,103103.45,282471.43,61786.32,0.861887173,2.5,0.9,336.12,Paved,0.07,8.5,2.45,56.613375,30782.121,1,0.825698456,0.861887173,10.27,5.5458,0.9,0.4,10.27,0,Loam,No,3,Catch Basin to Piped Outlet,None,0,0,3,0,0,0,No,Yes,Yes,240,0,Yes,Yes,447361.2,30782.121,5.5458
Ahuimanu Dewatering Facility,Corporation Yards,"47-305 Kahekili Highway
Kaneohe, Hawaii 96744",(1) 4-7-004:006 and (1) 4-7-037:030,High,1.14,49658.4,8442.16,7679.83,33536.41,0.324657863,3.25,0.9,162,Bare Soil,0.01,10,2.3,7.66935,1416.05925,1,0.342192076,0.324657863,1.14,0.6156,0.9,0.4,1.14,0,Clay,Yes,2,Piped Outlet / Sheet Flow,None,1,1,0,0,0,0,None,Yes,Yes,0,0,Yes,0,49658.4,1416.05925,0.6156
Sand Island Dewatering Facility,Corporation Yards,"1350 Sand Island Parkway
Honolulu, Hawaii 96819",(1) 1-5-041:005,Medium,3.24,141134.4,20177.66,36734.53,84222.21,0.40324818,2.1,0.9,266,Bare Soil,0.008,12.5,2.2,13.47192,4856.47425,1,0.412923362,0.40324818,3.24,1.7496,0.9,0.4,3.24,0,Fill Land,No,1,Sheet Flow,None,0,1,0,0,0,0,Yes,Yes,Yes,6700,0,Yes,No,141134.4,4856.47425,1.7496
Halawa (DRM) Corporation Yard,Corporation Yards,"99-1077 Iwaena Street
Aiea, Hawaii 96701",(1) 9-9-073:029,High,8.467676768,368852,28224.32,270742.04,69885.64,0.810532029,2.6,0.9,314,Paved,0.054140127,7,2.7,53.49878182,23959.36033,1,0.779478826,0.810532029,8.467676768,4.572545455,0.9,0.4,8.467676768,0,Loam,No,2,Catch Basin to Piped Outlet/Channelized Flow,OWS,0,0,1,1,0,0,No,Yes,Yes,19900,0,Yes,Yes,368852,23959.36033,4.572545455
Halawa (CSM) Baseyard (Corporation Yard),Corporation Yards,"99-989 Iwaena Street
Aiea, Hawaii 96701",(1) 9-9-073:027,High,4.08,177724.8,21472.33,95863.76,60388.71,0.66021225,2.6,0.9,342,Paved,0.005,8,2.5,23.868,9540.72675,1,0.644191025,0.66021225,4.08,2.2032,0.9,0.4,4.08,0,Loam,No,3,Catch Basin to Piped Outlet,None,0,0,3,0,0,0,No,Yes,Yes,230,0,Yes,Yes,177724.8,9540.72675,2.2032
Honouliuli Wastewater Treatment Plant,Wastewater Treatment Plants,"91-1000 Geiger Road,
Ewa Beach, Hawaii 96706",1 (9)-1-013:007,High,57,2482920,505974,580152,1396794,0.437438983,2,0.9,2550,Bare Soil,0.5,25,1.6,164.16,91804.95,1,0.443695085,0.437438983,57,30.78,0.9,0.4,57,0,Silty Clay Loam,Undetermined area,1,Sheet Flow,Gravel Swale,0,1,0,0,0,0,No,Yes,Yes,580152,145038,Yes,Yes,2482920,91804.95,30.78
Kailua Wastewater Treatment Plant,Wastewater Treatment Plants,"95 Kaneohe Bay Drive,
Kailua, Hawaii 96734",1 (4)-4-011:081,Low,28.69527089,1249966,278387,597223,374356,0.700507054,2.5,0.9,954,Paved,2,9.5,2.3,148.4980269,70878.94167,1,0.680456348,0.700507054,28.69527089,15.49544628,0.9,0.4,28.69527089,0,Clay,No,8,Various,Vegetated Swale,0,3,3,2,0,0,No,Yes,Yes,597223,149305.75,Yes,Yes,1249966,70878.94167,15.49544628
Sand Island Wastewater Treatment Plant,Wastewater Treatment Plants,"1350 Sand Island Parkway Road,
Honolulu, Hawaii 96819",1 (1)-5-041:005,High,31.19788797,1358980,546991,665753,146236,0.892392824,2.2,0.9,708,Paved,2,8.5,2.3,142.0751818,96618.21667,1,0.853153542,0.892392824,31.19788797,16.8468595,0.9,0.4,31.19788797,0,Fill,Partial,3,Catch Basin to Piped Outlet,None,0,0,3,0,0,0,No ,Yes,Yes,665753,166438.25,Yes,Yes,1358980,96618.21667,16.8468595
Wahiawa Wastewater Treatment Plant,Wastewater Treatment Plants,"111 California Avenue
Wahiawa, Hawaii 96786",1 (7)-3-007:002,High,7.220247934,314514,66063,176107,72344,0.769981622,2.9,0.9,465,Paved,0.5,9.5,2.3,43.34314835,19473.225,1,0.74298346,0.769981622,7.220247934,3.898933884,0.9,0.4,7.220247934,0,Clay,Undetermined,1,catch basin to piped outlet,None,0,0,1,0,0,0,No ,No,Yes,176107,44026.75,Yes,Yes,314514,19473.225,3.898933884
Waianae Wastewater Treatment Plant,Wastewater Treatment Plants,"86-100 Farrington Highway
Waianae, Hawaii 96792",1 (8)-6-001:044,High,14.53666208,633217,186645,204046,242526,0.616993858,2,0.9,697,Paved,0.02,11,2.4,62.79838017,31940.22917,1,0.605294473,0.616993858,14.53666208,7.849797521,0.9,0.4,14.53666208,0,Clay,Partial,1,catch basin to piped outlet,Detention Basin,0,0,1,0,0,0,No,Yes,Yes,204046,51011.5,Yes,Yes,633217,31940.22917,7.849797521
